scenario;x_A;y_A;Ptx_A;p_A;x_B;y_B;Ptx_B;p_B;x_C;y_C;Ptx_C;p_C;x_D;y_D;Ptx_D;p_D;x_E;y_E;Ptx_E;p_E;x_F;y_F;Ptx_F;p_F;s_A;d_A;s_B;d_B;s_C;d_C;s_D;d_D;s_E;d_E;s_F;d_F;s_av;s_min;s_max;d_av;d_min;d_max
 KOMONDOR SIMULATION 'sim_input_nodes_n6_s000001.csv' (seed 1992;0;20;0;0;1;1;0;0;1;0;0;0;0;0;0;0;10;13.3;0;0;10;6.7;0;0;178.176;4.2973;172.8;4.4437;165.504;4.6262;172.416;4.4534;53.76;0.2019;53.376;0.3721;132.672;53.376;178.176;7.7325;4.2973;0.3721
 KOMONDOR SIMULATION 'sim_input_nodes_n6_s000002.csv' (seed 1992;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;10;13.3;0;0;10;6.7;1;0;182.016;4.2144;176.64;4.3467;171.264;4.4789;168.192;4.5651;52.224;0.5627;43.392;17.5436;132.288;43.392;182.016;8.2853;4.2144;17.5436
 KOMONDOR SIMULATION 'sim_input_nodes_n6_s000003.csv' (seed 1992;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;10;13.3;1;0;10;6.7;0;0;200.064;3.8373;215.808;3.5573;205.824;3.7297;104.448;7.3358;32.64;23.0283;43.008;17.5957;133.632;32.64;215.808;9.8473;3.5573;23.0283
 KOMONDOR SIMULATION 'sim_input_nodes_n6_s000004.csv' (seed 1992;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;10;13.3;1;0;10;6.7;1;0;201.984;3.8;213.12;3.598;202.752;3.7854;102.144;7.4785;41.472;18.2965;38.784;19.5274;133.376;38.784;213.12;9.4143;3.598;19.5274
 KOMONDOR SIMULATION 'sim_input_nodes_n6_s000005.csv' (seed 1992;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;10;13.3;0;0;10;6.7;0;0;178.176;4.2973;172.8;4.4437;165.504;4.6262;172.416;4.4534;53.76;0.119;53.376;0.3721;132.672;53.376;178.176;7.7325;4.2973;0.3721
 KOMONDOR SIMULATION 'sim_input_nodes_n6_s000006.csv' (seed 1992;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;10;13.3;0;0;10;6.7;1;0;182.016;4.0;176.64;4.3467;171.264;4.4789;168.192;4.5651;52.224;0.5627;43.392;17.5436;132.288;43.392;182.016;8.2853;4.0;17.5436
 KOMONDOR SIMULATION 'sim_input_nodes_n6_s000007.csv' (seed 1992;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;10;13.3;1;0;10;6.7;0;0;10.064;3.8373;215.808;3.5573;15.824;3.7297;104.448;7.3358;32.64;23.0283;43.008;17.5957;133.632;32.64;215.808;9.8473;3.5573;23.0283
 KOMONDOR SIMULATION 'sim_input_nodes_n6_s000008.csv' (seed 1992;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;10;13.3;1;0;10;6.7;1;0;11.984;3.8;213.12;3.598;12.752;3.7854;102.04;7.4785;41.472;18.2965;38.784;19.5274;133.376;38.784;213.12;9.403;3.598;19.5274
 KOMONDOR SIMULATION 'sim_input_nodes_n6_s000009.csv' (seed 1992;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;10;13.3;0;0;10;6.7;0;0;13.52;3.7692;190.848;4.0235;104.832;7.3107;193.536;3.9675;46.08;16.5693;47.232;15.8731;131.008;46.08;13.52;8.5856;3.7692;16.5693
 KOMONDOR SIMULATION 'sim_input_nodes_n6_s000010.csv' (seed 1992;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;10;13.3;0;0;10;6.7;1;0;16.592;3.7112;193.536;3.9615;108.288;7.0868;198.04;3.8731;46.464;16.3762;42.24;18.0995;132.544;42.24;16.592;8.850;3.7112;18.0995